group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_LEUKOCYTE_CHEMOTAXIS,236,16,0.06779661016949153,4.384069445987162e-6,0.006975495014179306,0.0064536528418458776,"c(""IL23A"", ""CCL21"", ""CCL27"", ""MAPK3"", ""CKLF"", ""ITGA9"", ""CXCR5"", ""IL16"", ""S100A12"", ""CCL7"", ""CCL26"", ""CXCL1"", ""TNFSF11"", ""IL34"", ""IL10"", ""VEGFA"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_LEUKOCYTE_MIGRATION,385,21,0.05454545454545454,4.665882952628298e-6,0.006975495014179306,0.0064536528418458776,"c(""IL23A"", ""PLVAP"", ""CCL21"", ""CCL27"", ""MAPK3"", ""CKLF"", ""ITGA9"", ""CXCR5"", ""IL16"", ""IL17A"", ""RET"", ""S100A12"", ""CCL7"", ""CCL26"", ""CXCL1"", ""TNFSF11"", ""IL34"", ""IL10"", ""CD200"", ""GCSAML"", ""VEGFA"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,492,23,0.046747967479674794,2.0367777754018862e-5,0.012795743457211796,0.011838484001250697,"c(""DRD4"", ""LIF"", ""CCL21"", ""AXIN1"", ""MAPK3"", ""PELI2"", ""CDH2"", ""NOTCH1"", ""BRAF"", ""TGFA"", ""NECAB2"", ""PDGFA"", ""RET"", ""S100A12"", ""CCL7"", ""CCL26"", ""TNFSF11"", ""NRG1"", ""TLR6"", ""IL34"", ""PRKCA"", ""NTRK1"", ""VEGFA"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_MUSCLE_CELL_DEVELOPMENT,183,13,0.07103825136612021,2.124888371879906e-5,0.012795743457211796,0.011838484001250697,"c(""RGS2"", ""NOTCH1"", ""MAML1"", ""TCAP"", ""TPM1"", ""CASQ1"", ""PI16"", ""SHOX2"", ""PPP3CA"", ""FHL2"", ""MYH3"", ""VEGFA"", ""NEB"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_CARDIAC_CELL_DEVELOPMENT,87,9,0.10344827586206896,2.1397564309718723e-5,0.012795743457211796,0.011838484001250697,"c(""RGS2"", ""NOTCH1"", ""MAML1"", ""TCAP"", ""PI16"", ""SHOX2"", ""FHL2"", ""VEGFA"", ""NEB"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_CELL_CHEMOTAXIS,315,17,0.05396825396825397,4.338612606066023e-5,0.021620752820229013,0.02000328759428335,"c(""IL23A"", ""CCL21"", ""CCL27"", ""MAPK3"", ""CKLF"", ""ITGA9"", ""NOTCH1"", ""CXCR5"", ""IL16"", ""S100A12"", ""CCL7"", ""CCL26"", ""CXCL1"", ""TNFSF11"", ""IL34"", ""IL10"", ""VEGFA"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_MYELOID_LEUKOCYTE_MIGRATION,230,14,0.06086956521739131,5.715335249090733e-5,0.02431843443617811,0.02249915356390638,"c(""IL23A"", ""CCL21"", ""MAPK3"", ""CKLF"", ""ITGA9"", ""IL17A"", ""S100A12"", ""CCL7"", ""CCL26"", ""CXCL1"", ""TNFSF11"", ""IL34"", ""CD200"", ""VEGFA"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,100,9,0.09,6.506604531418893e-5,0.02431843443617811,0.02249915356390638,"c(""CSF3"", ""IL23A"", ""LIF"", ""MAPK11"", ""IL17A"", ""TNFSF11"", ""IL34"", ""PRKCA"", ""ACVR1B"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_GRANULOCYTE_CHEMOTAXIS,127,10,0.07874015748031496,8.066709589378779e-5,0.024651438879350656,0.02280724568735558,"c(""IL23A"", ""CCL21"", ""MAPK3"", ""CKLF"", ""ITGA9"", ""S100A12"", ""CCL7"", ""CCL26"", ""CXCL1"", ""IL34"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_GRANULOCYTE_MIGRATION,154,11,0.07142857142857142,8.687831765680184e-5,0.024651438879350656,0.02280724568735558,"c(""IL23A"", ""CCL21"", ""MAPK3"", ""CKLF"", ""ITGA9"", ""IL17A"", ""S100A12"", ""CCL7"", ""CCL26"", ""CXCL1"", ""IL34"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_CARDIOCYTE_DIFFERENTIATION,156,11,0.07051282051282051,9.754930733002193e-5,0.024651438879350656,0.02280724568735558,"c(""RGS2"", ""MAPK3"", ""NOTCH1"", ""MAML1"", ""TCAP"", ""PI16"", ""SHOX2"", ""NRG1"", ""FHL2"", ""VEGFA"", ""NEB"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,185,12,0.06486486486486487,1.0578526888354698e-4,0.024651438879350656,0.02280724568735558,"c(""IL23A"", ""NMI"", ""LIF"", ""IL9"", ""NOTCH1"", ""IL22RA2"", ""IL7R"", ""RET"", ""IFNA2"", ""IL10"", ""VEGFA"", ""SOCS2"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,441,20,0.045351473922902494,1.0718016904065502e-4,0.024651438879350656,0.02280724568735558,"c(""CREB3L3"", ""IL23A"", ""NMI"", ""CCL21"", ""CCL27"", ""MAPK3"", ""FEM1A"", ""NONO"", ""CD226"", ""BMP6"", ""IL16"", ""IL17A"", ""S100A12"", ""CDK19"", ""CCL7"", ""CCL26"", ""TNFSF11"", ""IL34"", ""PRKCA"", ""VEGFA"")"
STRING.cluster,377,C5,GO:BP,17872,313,GOBP_PEPTIDYL_TYROSINE_MODIFICATION,377,18,0.04774535809018567,1.25209278260954e-4,0.026741124428589464,0.024740600245848655,"c(""GPRC5A"", ""CSF3"", ""IL23A"", ""LIF"", ""MAPK3"", ""IL9"", ""BMP6"", ""TGFA"", ""IL22RA2"", ""PDGFA"", ""RET"", ""ARHGEF2"", ""IFNA2"", ""NRG1"", ""IL34"", ""ABL2"", ""NTRK1"", ""VEGFA"")"
